Argo Bromo Anggrek - KA1,,
,,
,,
Stasiun,Datang,Berangkat
Surabaya Pasar Turi,08.00,09.10
Bojonegoro,10.16,10.21
Semarang Tawang,12.02,12.17
Pekalongan,13.17,13.22
Cirebon,14.40,14.45
Gambir,17.15,-
,,
Argo Bromo Anggrek - KA2,,
,,
,,
Stasiun,Datang,Berangkat
Gambir,08.00,08.20
Cirebon,10.01,10.46
Pekalongan,12.02,12.07
Semarang Tawang,13.07,13.12
Bojonegoro,15.06,15.11
Surabaya Pasar Turi,16.25,-
,,
Argo Bromo Anggrek - KA3,,
,,
,,
Stasiun,Datang,Berangkat
Surabaya Pasar Turi,20.00,21.15
Bojonegoro,22.21,22.26
Semarang Tawang,00.17,00.22
Pekalongan,01.22,01.27
Cirebon,02.45,02.50
Gambir,05.20,-
,,
Argo Bromo Anggrek - KA4,,
,,
,,
Stasiun,Datang,Berangkat
Gambir,19.00,20.30
Cirebon,22.51,22.56
Pekalongan,00.12,00.17
Semarang Tawang,01.17,01.22
Bojonegoro,03.16,03.21
Surabaya Pasar Turi,04.35,-
